issue,terriss,riveriss,mariss,region,claimdy,claim,dyadnum,chal,tgt,dyad,year,icowsal,icowsalc,salchal,saltgt,salold,saltan,salint,salintc,salintt,tchomechal,tchometgt,tcpop,tcresource,tcstratloc,tcidenchal,tcidentgt,tchistchal,tchisttgt,tcoffshore,tccontchal,tcconttgt,tcncontig,tcentirecl,tcarea,tclnarea,rcquantcl,rcqualcl,rcnavcl,rcrivtype,rchomechal,rchometgt,rcnavc,rcnavt,rcpopc,rcpopt,rcresourcc,rcresourct,rcpowerc,rcpowert,rcirrigc,rcirrigt,rcdamsc,rcdamst,rcterrclm,rcterrnum,mchomechal,mchometgt,mcresource,mcstratloc,mcfishing,mcmigrate,mcoil,mcoffshore,mcterrclm,mcterrnum,nbilat,attbilat,n3non,att3non,n3bind,att3bind,att3rd,nmidiss,midissyr,maxhost,maxfatal,nfatal,midfatyr,nwar,waryr,attemptsp,attemptst,attanyp,attanyt,attmult,attnone,recmid5,recmid10,recmid15,recmidwt,recfat5,recfat10,recfat15,recfatwt,recwar5,recwar10,recwar15,recwarwt,recno5,recno10,recno15,recnowt,recyes5,recyes10,recyes15,recyeswt,pacsett,tergen,terviol,tertot,version
1,1,0,0,1,401,4,1,2,200,2200,1826,3,1,2,1,5,2,1,1,0,1,0,2,0,0,0,0,0,0,0,1,0,1,0,12027,9.394993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,.1,0,0,0,0,1.1
1,1,0,0,1,401,4,1,2,200,2200,1827,3,1,2,1,5,2,1,1,0,1,0,2,0,0,0,0,0,0,0,1,0,1,0,12027,9.394993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1.1
1,1,0,0,1,401,4,1,2,200,2200,1828,3,1,2,1,5,2,1,1,0,1,0,2,0,0,0,0,0,0,0,1,0,1,0,12027,9.394993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,0,0,0,0,1.1
1,1,0,0,1,401,4,1,2,200,2200,1829,3,1,2,1,5,2,1,1,0,1,0,2,0,0,0,0,0,0,0,1,0,1,0,12027,9.394993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,.9,0,0,0,0,1.1
1,1,0,0,1,401,4,1,2,200,2200,1830,3,1,2,1,5,2,1,1,0,1,0,2,0,0,0,0,0,0,0,1,0,1,0,12027,9.394993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,.8,0,0,0,0,1.1
1,1,0,0,1,401,4,1,2,200,2200,1831,3,1,2,1,5,2,1,1,0,1,0,2,0,0,0,0,0,0,0,1,0,1,0,12027,9.394993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,.9,1,2,2,.7,0,0,0,0,1.1
1,1,0,0,1,401,4,1,2,200,2200,1832,3,1,2,1,5,2,1,1,0,1,0,2,0,0,0,0,0,0,0,1,0,1,0,12027,9.394993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,.8,0,1,2,.6,0,0,0,0,1.1
1,1,0,0,1,401,4,1,2,200,2200,1833,3,1,2,1,5,2,1,1,0,1,0,2,0,0,0,0,0,0,0,1,0,1,0,12027,9.394993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1.7,0,1,2,.5,0,0,0,0,1.1
1,1,0,0,1,401,4,1,2,200,2200,1834,3,1,2,1,5,2,1,1,0,1,0,2,0,0,0,0,0,0,0,1,0,1,0,12027,9.394993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1.5,0,1,2,.4,0,0,0,0,1.1
1,1,0,0,1,401,4,1,2,200,2200,1835,3,1,2,1,5,2,1,1,0,1,0,2,0,0,0,0,0,0,0,1,0,1,0,12027,9.394993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1.3,0,1,2,.3,0,0,0,0,1.1
1,1,0,0,1,401,4,1,2,200,2200,1836,3,1,2,1,5,2,1,1,0,1,0,2,0,0,0,0,0,0,0,1,0,1,0,12027,9.394993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1.1,0,1,2,.2,0,0,0,0,1.1
1,1,0,0,1,401,4,1,2,200,2200,1837,3,1,2,1,5,2,1,1,0,1,0,2,0,0,0,0,0,0,0,1,0,1,0,12027,9.394993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,.9,0,0,1,.1,0,0,0,0,1.1
